No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
912,"""Mount Pickering""",4107,70.46%,11194,"""California,UnitedStates,NorthAmerica"""
913,"""Mönch""",4107,96.26%,87572,"""Switzerland,Europe"""
914,"""La Junta Peak""",4106,76.26%,9776,"""Colorado,UnitedStates,NorthAmerica"""
915,"""Breithornzwillinge / Breithorn twin""",4106,81.72%,5756,"""Italy,Switzerland,Europe"""
916,"""Mt. Prater""",4106,73.57%,10866,"""California,UnitedStates,NorthAmerica"""
917,"""Mount Versteeg""",4106,86.37%,15806,"""California,UnitedStates,NorthAmerica"""
918,"""Silver Mountain B""",4106,81.18%,3305,"""Colorado,UnitedStates,NorthAmerica"""
919,"""Mount Ridgway""",4105,83.69%,8102,"""Colorado,UnitedStates,NorthAmerica"""
920,"""“Twelve Flags Peak” (0.6 mi NE of Mt. Morgan S)""",4105,73.06%,7711,"""California,UnitedStates,NorthAmerica"""
921,"""Mount Mills""",4105,83.59%,26809,"""California,UnitedStates,NorthAmerica"""
922,"""Mount Febbas""",4105,84.17%,16507,"""Wyoming,UnitedStates,NorthAmerica"""
923,"""“Northwest Lamarck”""",4104,72.33%,8190,"""California,UnitedStates,NorthAmerica"""
924,"""Treasury Mountain""",4103,88.6%,22847,"""Colorado,UnitedStates,NorthAmerica"""
925,"""Point 13,462""",4103,78.27%,3579,"""Colorado,UnitedStates,NorthAmerica"""
926,"""Quail Mountain""",4103,92.04%,15675,"""Colorado,UnitedStates,NorthAmerica"""
927,"""Sleeping Sexton""",4103,78.27%,17330,"""Colorado,UnitedStates,NorthAmerica"""
928,"""San Joaquin Ridge""",4103,78.27%,2833,"""Colorado,UnitedStates,NorthAmerica"""
929,"""Grande Rocheuse""",4102,89.77%,7453,"""HauteSavoie,France,Europe"""
930,"""Kinabalu""",4101,93.54%,40659,"""Sabah,Malaysia,Asia"""
931,"""Barre des Ecrins""",4101,94.4%,84484,"""Dauphiné,France,Europe"""
932,"""""Campbell Creek Peak""""",4101,82.48%,2034,"""Colorado,UnitedStates,NorthAmerica"""
933,"""Hanson Peak""",4101,82.48%,4967,"""Colorado,UnitedStates,NorthAmerica"""
934,"""Pik Profsoyuzov""",4100,85.36%,7525,"""Svaneti/Kabardino-Balkaria,Georgia,Russia,Europe"""
935,"""Kendall Peak""",4100,72.27%,11479,"""Colorado,UnitedStates,NorthAmerica"""
936,"""Horn Peak""",4100,91.75%,39808,"""Colorado,UnitedStates,NorthAmerica"""
937,"""""Tundra Top""""",4100,82.48%,3333,"""Colorado,UnitedStates,NorthAmerica"""
938,"""Sunbeam Peak""",4100,83.69%,13024,"""Wyoming,UnitedStates,NorthAmerica"""
939,"""Flagstone and Pedestal Peaks""",4100,82.48%,9549,"""Wyoming,UnitedStates,NorthAmerica"""
940,"""Peak 13447 ft (or 13463 ft?)""",4099,82.48%,4048,"""Colorado,UnitedStates,NorthAmerica"""
941,"""Hurricane Peak""",4099,84.27%,12991,"""Colorado,UnitedStates,NorthAmerica"""
942,"""Gilbert Peak""",4097,87.76%,37248,"""Utah,UnitedStates,NorthAmerica"""
943,"""Montgomery Peak""",4097,90.79%,39374,"""California,UnitedStates,NorthAmerica"""
944,"""Apache Peak""",4097,88.61%,62928,"""Colorado,UnitedStates,NorthAmerica"""
945,"""S 6""",4097,81.84%,2706,"""Colorado,UnitedStates,NorthAmerica"""
946,"""Mount Hale""",4097,85.36%,14318,"""California,UnitedStates,NorthAmerica"""
947,"""Mount Emmons""",4097,87.31%,28550,"""Utah,UnitedStates,NorthAmerica"""
948,"""T 5""",4095,80.49%,5636,"""Colorado,UnitedStates,NorthAmerica"""
949,"""UN 13,435 ""Mascot Peak""""",4095,85.87%,8790,"""Colorado,UnitedStates,NorthAmerica"""
950,"""UN 13434""",4095,87.31%,4108,"""Colorado,UnitedStates,"""
951,"""Jenkins Mountain""",4094,76.66%,8433,"""Colorado,UnitedStates,NorthAmerica"""
952,"""Twin Sisters East""",4094,83.69%,5772,"""Colorado,UnitedStates,NorthAmerica"""
953,"""Sundog""",4094,88.19%,10025,"""Colorado,UnitedStates,NorthAmerica"""
954,"""Oscars Peak (UN 13432 ft)""",4094,86.85%,7018,"""Colorado,UnitedStates,NorthAmerica"""
955,"""Eagles Nest""",4094,88.61%,58293,"""Colorado,UnitedStates,NorthAmerica"""
956,"""Mount Newcomb""",4093,0%,1115,"""California,UnitedStates,NorthAmerica"""
957,"""Grizzly Peak""",4093,96.63%,56553,"""Colorado,UnitedStates,NorthAmerica"""
958,"""Unnamed 13427""",4093,79.78%,807,"""Colorado,UnitedStates,NorthAmerica"""
959,"""Pollux / Polluce""",4092,94.89%,63864,"""Valled'Aosta/Wallis,Italy,Switzerland,Europe"""
960,"""Mummy Mountain""",4092,89.01%,39867,"""Colorado,UnitedStates,NorthAmerica"""
961,"""Spread Eagle Peak""",4091,84.27%,22644,"""Colorado,UnitedStates,NorthAmerica"""
962,"""Siberia Peak""",4090,84.27%,11166,"""Colorado,UnitedStates,NorthAmerica"""
963,"""Aragats  (Арагац)""",4090,90.63%,45387,"""Aragatsotnmarz,Armenia,Europe,Asia"""
964,"""Mount Haeckel""",4090,81.84%,29085,"""California,UnitedStates,NorthAmerica"""
965,"""Mount Lamarck""",4090,77.47%,31100,"""California,UnitedStates,NorthAmerica"""
966,"""Little Giant Peak""",4089,75.81%,9515,"""Colorado,UnitedStates,NorthAmerica"""
967,"""Taleghan Peak (Sefid Kootool)""",4089,83.69%,6110,"""Tehran/Qazvin,Iran,Asia"""
968,"""Ouanoukrim""",4089,85.64%,21461,"""HighAtlas,Morocco,Africa"""
969,"""""Heisshorn""""",4088,83.1%,4105,"""Colorado,UnitedStates,NorthAmerica"""
970,"""S 3""",4087,81.84%,2541,"""Colorado,UnitedStates,NorthAmerica"""
971,"""Navajo Peak""",4087,92.04%,55047,"""Colorado,UnitedStates,NorthAmerica"""
972,"""Mount Wilcox""",4087,81.02%,22503,"""Colorado,UnitedStates,NorthAmerica"""
973,"""“Keyhole Plateau” (0.8 mi NW of Mt. Lamarck)""",4086,72.07%,10308,"""California,UnitedStates,NorthAmerica"""
974,"""Rowe Peak""",4086,83.1%,22610,"""Colorado,UnitedStates,NorthAmerica"""
975,"""Peak Nine""",4085,71.8%,4109,"""Colorado,UnitedStates,NorthAmerica"""
976,"""Mount Rhoda""",4085,89.39%,10177,"""Colorado,UnitedStates,NorthAmerica"""
977,"""Bartlett Mountain""",4084,78.27%,16977,"""Colorado,UnitedStates,NorthAmerica"""
978,"""Cardinal Mountain""",4083,88.13%,20987,"""California,UnitedStates,NorthAmerica"""
979,"""Bent Peak""",4082,78.27%,4359,"""Colorado,UnitedStates,NorthAmerica"""
980,"""Parry Peak""",4082,86.37%,40891,"""Colorado,UnitedStates,NorthAmerica"""
981,"""Rogers Peak""",4082,88.19%,19999,"""Colorado,UnitedStates,NorthAmerica"""
982,"""Mount Jepson""",4081,79.78%,20151,"""California,UnitedStates,NorthAmerica"""
983,"""Telapon""",4081,84.45%,12407,"""EstadodeMexico,Mexico,NorthAmerica"""
984,"""The Thumb""",4081,80.85%,22745,"""California,UnitedStates,NorthAmerica"""
985,"""""Painter Peak""""",4080,89.39%,8523,"""Utah,UnitedStates,NorthAmerica"""
986,"""Stepanek""",4080,84.27%,9441,"""Mendoza,Argentina,SouthAmerica"""
987,"""Chicago Peak""",4080,83.69%,7457,"""Colorado,UnitedStates,NorthAmerica"""
988,"""“Mount Steven Jay Gould” (0.5 mi NW of Mt. Mendel)""",4080,73.67%,5776,"""California,UnitedStates,NorthAmerica"""
989,"""Baldy Cinco""",4079,85.87%,13318,"""Colorado,UnitedStates,NorthAmerica"""
990,"""The Cleaver""",4079,81.43%,14693,"""California,UnitedStates,NorthAmerica"""
991,"""Gold Dust Peak""",4079,83.69%,20337,"""Colorado,UnitedStates,NorthAmerica"""
992,"""UN13,382 ""Williams Mountain""""",4079,85.36%,13971,"""Colorado,UnitedStates,NorthAmerica"""
993,"""Kaweah Queen""",4079,83.69%,9180,"""California,UnitedStates,NorthAmerica"""
994,"""Geissler Mountain East""",4078,92.32%,17225,"""Colorado,UnitedStates,NorthAmerica"""
995,"""South Lookout Peak""",4078,74.26%,14815,"""Colorado,UnitedStates,NorthAmerica"""
996,"""Music Mountain""",4078,90.72%,19469,"""Colorado,UnitedStates,NorthAmerica"""
997,"""Kalvan""",4078,85.87%,4147,"""Mazandaran,Iran,Asia"""
998,"""Italian Mountain &amp; Lambertson Peak""",4078,90.81%,28791,"""Colorado,UnitedStates,NorthAmerica"""
999,"""Schreckhorn""",4078,89.08%,42766,"""KantonBern,Switzerland,Europe"""
1000,"""Mount Wallace""",4077,85.87%,25057,"""California,UnitedStates,NorthAmerica"""
1001,"""Unnamed 13377""",4077,79.04%,1251,"""Colorado,UnitedStates,NorthAmerica"""
1002,"""Twin Sisters West""",4076,82.48%,4175,"""Colorado,UnitedStates,NorthAmerica"""
1003,"""Vagabond Peak""",4076,82.38%,16093,"""California,UnitedStates,NorthAmerica"""
1004,"""Dome Mountain A""",4075,84.27%,6189,"""Colorado,UnitedStates,NorthAmerica"""
1005,"""Buckskin BM""",4075,91.14%,16779,"""Colorado,UnitedStates,NorthAmerica"""
1006,"""Mount Guyot""",4075,91.28%,51376,"""Colorado,UnitedStates,NorthAmerica"""
1007,"""Kaoon""",4075,85.36%,8712,"""Mazandaran,Iran,Asia"""
1008,"""Roccia Nera / Schwarzfluh""",4075,84.82%,13425,"""Valled'Aosta/Wallis,Italy,Switzerland,Europe"""
1009,"""Monumental Peak""",4075,85.87%,7758,"""Colorado,UnitedStates,NorthAmerica"""
1010,"""Sultan Mountain""",4075,88.85%,23911,"""Colorado,UnitedStates,NorthAmerica"""
1011,"""Pasand Kooh""",4074,79.78%,5941,"""Mazandaran,Iran,Asia"""
1012,"""Pinnacle Ridge""",4074,77.48%,1090,"""Wyoming,UnitedStates,NorthAmerica"""
1013,"""Mount Powell""",4073,80.41%,21258,"""California,UnitedStates,NorthAmerica"""
1014,"""UN 13363 ""Little Pikes""""",4073,85.87%,7448,"""Colorado,UnitedStates,NorthAmerica"""
1015,"""Engelmann Peak""",4073,85.87%,15800,"""Colorado,UnitedStates,NorthAmerica"""
1016,"""Pearl Mountain""",4073,75.39%,14192,"""Colorado,UnitedStates,NorthAmerica"""
1017,"""Mount Hilgard""",4072,88.48%,19929,"""California,UnitedStates,NorthAmerica"""
1018,"""T 7""",4072,77.48%,2959,"""Colorado,UnitedStates,NorthAmerica"""
1019,"""""Mount Silverthorne"" aka Willow BM""",4071,87.31%,21299,"""Colorado,UnitedStates,NorthAmerica"""
1020,"""Downs Mountain""",4071,85.87%,29512,"""Wyoming,UnitedStates,NorthAmerica"""
1021,"""Volcán Azufral""",4070,85.36%,6786,"""Nariño,Colombia,SouthAmerica"""
1022,"""Hoosier Ridge and Red Peak (A)""",4070,90.81%,26399,"""Colorado,UnitedStates,NorthAmerica"""
1023,"""Malemute Peak""",4068,86.14%,12283,"""Colorado,UnitedStates,NorthAmerica"""
1024,"""Peerless Mountain""",4068,77.91%,11554,"""Colorado,UnitedStates,NorthAmerica"""
1025,"""M'Goun""",4068,82.79%,19041,"""HighAtlas,Morocco,Africa"""
1026,"""""Tincup Peak""""",4068,77.48%,3943,"""Colorado,UnitedStates,"""
1027,"""Mount Jordan""",4067,79.44%,16509,"""California,UnitedStates,NorthAmerica"""
1028,"""Meeshchalak""",4067,79.04%,4078,"""Mazandaran,Iran,Asia"""
1029,"""Beattie Peak""",4067,81.84%,11085,"""Colorado,UnitedStates,NorthAmerica"""
1030,"""Kendall Mountain""",4066,76.66%,2016,"""Colorado,UnitedStates,NorthAmerica"""
1031,"""Unnamed 13340""",4066,79.04%,899,"""Colorado,UnitedStates,NorthAmerica"""
1032,"""Mount Owen""",4066,84.82%,15507,"""Colorado,UnitedStates,NorthAmerica"""
1033,"""Mount Herard""",4066,84.69%,35102,"""Colorado,UnitedStates,NorthAmerica"""
1034,"""Brown Mountain""",4066,80.15%,18645,"""Colorado,UnitedStates,NorthAmerica"""
1035,"""Saal Barf""",4065,90.13%,5693,"""Tehran/Qazvin,Iran,Asia"""
1036,"""Alaneh Sar""",4065,94.02%,7025,"""Tehran/Mazandaran,Iran,Asia"""
1037,"""UN13,336 ""Willow Peak""""",4065,88.61%,13622,"""Colorado,UnitedStates,NorthAmerica"""
1038,"""Venable Peak""",4064,96.75%,13862,"""Colorado,UnitedStates,NorthAmerica"""
1039,"""Coney Benchmark""",4064,77.48%,828,"""Colorado,UnitedStates,NorthAmerica"""
1040,"""""East Thorn"" Peak""",4064,73.06%,12262,"""Colorado,UnitedStates,NorthAmerica"""
1041,"""Peak 13,332ft""",4064,83.1%,6186,"""California,UnitedStates,NorthAmerica"""
1042,"""Black Giant""",4063,85.87%,22214,"""California,UnitedStates,NorthAmerica"""
1043,"""Peak 13330 (Proposal Peak)""",4063,81.18%,7974,"""Colorado,UnitedStates,NorthAmerica"""
1044,"""Obergabelhorn (Ober Gabelhorn)""",4063,97.47%,58296,"""Wallis,Switzerland,Europe"""
1045,"""Cinnamon Mountain A""",4062,84.27%,5685,"""Colorado,UnitedStates,NorthAmerica"""
1046,"""North Guard""",4062,83.1%,20966,"""California,UnitedStates,NorthAmerica"""
1047,"""McHenrys Peak""",4062,88.19%,42068,"""Colorado,UnitedStates,NorthAmerica"""
1048,"""Joe Devel Peak""",4062,71.51%,9462,"""California,UnitedStates,NorthAmerica"""
1049,"""West Buffalo Peak""",4062,87.31%,44314,"""Colorado,UnitedStates,NorthAmerica"""
1050,"""Storm Peak""",4062,86.73%,33893,"""Colorado,UnitedStates,NorthAmerica"""
1051,"""""East Storm""""",4061,78.15%,1462,"""Colorado,UnitedStates,NorthAmerica"""
1052,"""Belleview Mountain""",4061,90.81%,20469,"""Colorado,UnitedStates,NorthAmerica"""
1053,"""Gran Paradiso""",4061,99.28%,132580,"""AostaValley/Piedmont,Italy,Europe"""
1054,"""Süphan Dağı (Mount Suphan)""",4061,72.93%,18736,"""Bitlis,EasternAnatolya,Turkey,Asia"""
1055,"""Leahy Peak""",4061,76.14%,7569,"""Colorado,UnitedStates,NorthAmerica"""
1056,"""Trico Peak""",4060,91.3%,19462,"""Colorado,UnitedStates,NorthAmerica"""
1057,"""Sunshine Mountain""",4060,91.75%,14807,"""Colorado,UnitedStates,NorthAmerica"""
1058,"""Regal Mountain""",4060,0%,697,"""Alaska,UnitedStates,NorthAmerica"""
1059,"""Palmyra Peak""",4060,83.69%,13394,"""Colorado,UnitedStates,NorthAmerica"""
1060,"""Peak 13317 ft (Alpine Lake)""",4059,86.85%,5190,"""Colorado,UnitedStates,NorthAmerica"""
1061,"""T 8""",4058,83.1%,2947,"""Colorado,UnitedStates,NorthAmerica"""
1062,"""Booby Prize (Unnamed 13312 ft)""",4057,83.1%,3220,"""Colorado,UnitedStates,NorthAmerica"""
1063,"""""C.T. Peak""""",4057,76.66%,1567,"""Colorado,UnitedStates,NorthAmerica"""
1064,"""""West Pearl Mountain""""",4057,75.52%,9550,"""Colorado,UnitedStates,NorthAmerica"""
1065,"""Mount Alice""",4057,92.04%,56489,"""Colorado,UnitedStates,NorthAmerica"""
1066,"""Emery Peak""",4057,74.92%,2497,"""Colorado,UnitedStates,NorthAmerica"""
1067,"""Aztec Mountain""",4057,83.69%,3679,"""Colorado,UnitedStates,NorthAmerica"""
1068,"""Peak 13309 (Clear Lake, V2)""",4057,86.85%,18795,"""Colorado,UnitedStates,NorthAmerica"""
1069,"""Mount Warren""",4056,79.47%,17875,"""Colorado,UnitedStates,NorthAmerica"""
1070,"""Shirkooh""",4055,74.32%,5788,"""Yazd,Iran,Asia"""
1071,"""Geissler Mountain West""",4054,79.78%,3572,"""Colorado,UnitedStates,NorthAmerica"""
1072,"""Ski Mountaineers Peak""",4054,85.36%,5811,"""California,UnitedStates,NorthAmerica"""
1073,"""El Punto Peak 13,300'""",4054,77.48%,5180,"""Colorado,UnitedStates,NorthAmerica"""
1074,"""13300""",4054,79.04%,522,"""Colorado,UnitedStates,NorthAmerica"""
1075,"""Mount Daly""",4054,83.1%,29714,"""Colorado,UnitedStates,NorthAmerica"""
1076,"""Galena Mountain A""",4054,82.48%,5826,"""Colorado,UnitedStates,NorthAmerica"""
1077,"""Unnamed 13300""",4054,84.27%,1228,"""Colorado,UnitedStates,NorthAmerica"""
1078,"""East Buffalo Peak""",4054,84.27%,11486,"""Colorado,UnitedStates,NorthAmerica"""
1079,"""Summit Peak""",4054,71.85%,32869,"""Colorado,UnitedStates,NorthAmerica"""
1080,"""Peak 13295 ft""",4052,79.78%,2502,"""Colorado,UnitedStates,NorthAmerica"""
1081,"""The Citadel""",4052,82.48%,37982,"""Colorado,UnitedStates,NorthAmerica"""
1082,"""James Peak &amp; St. Mary's Glacier""",4052,94.96%,115664,"""Colorado,UnitedStates,NorthAmerica"""
1083,"""Bionnassay (Aiguille de)""",4052,91.59%,40375,"""MassifduMontBlanc,France/Italy,Europe"""
1084,"""Sheep Mountain A""",4051,80.49%,5447,"""Colorado,UnitedStates,NorthAmerica"""
1085,"""Waverly Mountain""",4051,81.64%,7617,"""Colorado,BuenaVista,UnitedStates,NorthAmerica"""
1086,"""Black Mountain""",4051,83.69%,18375,"""California,UnitedStates,NorthAmerica"""
1087,"""Dolores Peak""",4051,84.36%,17333,"""Colorado,UnitedStates,NorthAmerica"""
1088,"""Mount Bradley""",4050,76.66%,19838,"""California,UnitedStates,NorthAmerica"""
1089,"""Taftan""",4050,81.17%,12488,"""SistanandBeluchistan,Iran,Asia"""
1090,"""""Roberts Peak"" (a.k.a. ""Pyramid Peak"")""",4050,77.48%,8687,"""Utah,UnitedStates,NorthAmerica"""
1091,"""Bonita Peak""",4050,86.37%,14472,"""Colorado,UnitedStates,NorthAmerica"""
1092,"""The Enclosure""",4049,82.95%,17795,"""Wyoming,UnitedStates,NorthAmerica"""
1093,"""Piz Bernina""",4049,96.97%,93081,"""BerninaGroup,Lombardy,Engadin,Italy,Switzerland,Europe"""
1094,"""Fiescherhorn""",4049,84.27%,27733,"""BerneseOberland,Switzerland,Europe"""
1095,"""Truro Peak""",4048,90.13%,7914,"""Colorado,UnitedStates,NorthAmerica"""
1096,"""Mount McDuffie""",4048,78.27%,13365,"""California,UnitedStates,NorthAmerica"""
1097,"""""Tabor Peak"", Pt 13,282""",4048,79.04%,5017,"""Colorado,UnitedStates,NorthAmerica"""
1098,"""Grizzly Peak E""",4048,78.27%,2548,"""Colorado,UnitedStates,NorthAmerica"""
1099,"""Mount Lady Washington""",4048,94.08%,52109,"""Colorado,UnitedStates,NorthAmerica"""
1100,"""Picture Puzzle""",4048,90.04%,17192,"""California,UnitedStates,NorthAmerica"""
1101,"""Nezar""",4047,83.69%,4011,"""Mazandaran,Iran,Asia"""
1102,"""Angemar I""",4047,84.27%,4960,"""Tehran,Iran,Asia"""
1103,"""Comanche Peak""",4047,72.76%,11568,"""Colorado,UnitedStates,NorthAmerica"""
1104,"""Ruby Mountain""",4047,97.28%,33289,"""Colorado,UnitedStates,NorthAmerica"""
1105,"""Mendota Peak""",4046,89.01%,9437,"""Colorado,UnitedStates,NorthAmerica"""
1106,"""Punta Giordani""",4046,86.72%,19247,"""MojteRosa,Aosta/Vercelli,Italy,Europe"""
1107,"""Seigal Mountain""",4046,81.84%,2676,"""Colorado,UnitedStates,NorthAmerica"""
1108,"""Whitney Peak""",4045,87.76%,18918,"""Colorado,UnitedStates,NorthAmerica"""
1109,"""Crestolita""",4045,89.01%,10434,"""Colorado,UnitedStates,NorthAmerica"""
1110,"""Antora Peak""",4044,83.69%,18419,"""Colorado,UnitedStates,NorthAmerica"""
1111,"""Gross Gruenhorn""",4044,89.32%,25222,"""Wallis(Bernesealps),Switzerland,Europe"""
1112,"""Pipsqueak Spire""",4044,79.78%,15434,"""California,UnitedStates,NorthAmerica"""
1113,"""Wildhorse Peak""",4043,92.46%,12525,"""Colorado,UnitedStates,NorthAmerica"""
1114,"""Geneva Peak""",4043,88.61%,18851,"""Colorado,UnitedStates,NorthAmerica"""
1115,"""Marble Mountain""",4043,94.44%,40447,"""Colorado,UnitedStates,NorthAmerica"""
1116,"""Knife Point""",4043,86.23%,10757,"""Colorado,UnitedStates,NorthAmerica"""
1117,"""Mount Koven""",4043,78.27%,1648,"""Wyoming,UnitedStates,NorthAmerica"""
1118,"""Aperture Peak""",4043,73.06%,13597,"""California,UnitedStates,NorthAmerica"""
1119,"""Deerhorn Mountain""",4043,84.82%,21278,"""California,UnitedStates,NorthAmerica"""
1120,"""Mount Goethe""",4043,86.37%,26128,"""California,UnitedStates,NorthAmerica"""
1121,"""Gunsight Peak""",4043,84.11%,20506,"""Utah,UnitedStates,NorthAmerica"""
1122,"""Sefid Ab""",4042,85.87%,4513,"""Tehran/Qazvin,Iran,Asia"""
1123,"""Lauteraarhorn""",4042,83.48%,24004,"""Switzerland,Europe"""
1124,"""Middle Peak""",4042,84.82%,8137,"""Colorado,UnitedStates,NorthAmerica"""
1125,"""Henrys Fork Peak""",4042,92.32%,25980,"""Utah,UnitedStates,NorthAmerica"""
1126,"""Darley Mountain""",4042,79.04%,8635,"""Colorado,UnitedStates,NorthAmerica"""
1127,"""Unnamed 13260""",4042,76.66%,510,"""Colorado,UnitedStates,NorthAmerica"""
1128,"""V 9""",4042,77.48%,737,"""Colorado,UnitedStates,NorthAmerica"""
1129,"""Whitehead Peak""",4041,86.12%,15655,"""Colorado,UnitedStates,NorthAmerica"""
1130,"""The Sphinx""",4041,75.81%,1710,"""Wyoming,UnitedStates,NorthAmerica"""
1131,"""Broken Hill""",4040,78.21%,9242,"""Colorado,UnitedStates,NorthAmerica"""
1132,"""Sheep Rock Mountain (Peak 13255 ft)""",4040,87.31%,5606,"""Colorado,UnitedStates,NorthAmerica"""
1133,"""Dombai-Ulgen""",4040,86.25%,8836,"""Russia,Europe"""
1134,"""Henry Mountain""",4040,88.61%,12586,"""Colorado,UnitedStates,NorthAmerica"""
1135,"""Royce Peak""",4040,84.82%,22212,"""California,UnitedStates,NorthAmerica"""
1136,"""Peak 13253 ft (Harrison Flat)""",4040,85.36%,6115,"""Colorado,UnitedStates,NorthAmerica"""
1137,"""Mount Tom Ross""",4040,81.17%,12119,"""California,UnitedStates,NorthAmerica"""
1138,"""S 8""",4039,86.85%,3259,"""Colorado,UnitedStates,NorthAmerica"""
1139,"""Mount Bancroft""",4039,83.1%,37052,"""Colorado,UnitedStates,NorthAmerica"""
1140,"""""Trail Rider Peak""""",4038,89.01%,6831,"""Utah,UnitedStates,NorthAmerica"""
1141,"""Peak's Z ""Gorgeous Peak"" &amp; ""Z-Prime""""",4037,91.75%,16999,"""Colorado,UnitedStates,NorthAmerica"""
1142,"""Spring Mountain""",4037,75.38%,4658,"""Colorado,UnitedStates,NorthAmerica"""
1143,"""S 4""",4036,79.04%,743,"""Colorado,UnitedStates,NorthAmerica"""
1144,"""Gendarme Peak""",4036,78.27%,12760,"""California,UnitedStates,NorthAmerica"""
1145,"""""Fortress Peak""""",4036,84.82%,4891,"""Colorado,UnitedStates,NorthAmerica"""
1146,"""South Basin Peak (pt. 13,240')""",4036,81.18%,9381,"""California,UnitedStates,NorthAmerica"""
1147,"""Feather Peak""",4036,83.69%,23614,"""California,UnitedStates,NorthAmerica"""
1148,"""Basin Mountain""",4036,91.45%,37202,"""California,UnitedStates,NorthAmerica"""
1149,"""Dirruhorn""",4035,83.69%,9820,"""CantonValais,Switzerland,Europe"""
1150,"""Landslide Peak""",4035,84.82%,10727,"""Colorado,UnitedStates,NorthAmerica"""
1151,"""Notch Mountain &amp; UN 13,248""",4035,94.63%,33025,"""Colorado,UnitedStates,NorthAmerica"""
1152,"""Mount Sniktau""",4034,95.51%,52871,"""Colorado,UnitedStates,NorthAmerica"""
1153,"""Peak 13232 ft (Allan Lake)""",4033,84.57%,2684,"""Colorado,UnitedStates,NorthAmerica"""
1154,"""Hesperus Mountain""",4033,88.79%,43027,"""Colorado,UnitedStates,NorthAmerica"""
1155,"""Turner Peak""",4033,73.06%,10141,"""Colorado,UnitedStates,NorthAmerica"""
1156,"""South Guard""",4033,75.88%,9578,"""California,UnitedStates,NorthAmerica"""
1157,"""Peak F""",4033,72.69%,4567,"""Colorado,UnitedStates,NorthAmerica"""
1158,"""Unnamed 13230""",4033,79.04%,613,"""Colorado,UnitedStates,NorthAmerica"""
1159,"""Peak Q ""Prisoner Peak""""",4033,88.61%,18624,"""Colorado,UnitedStates,NorthAmerica"""
1160,"""Red Mountain (C)""",4032,85.87%,16739,"""Colorado,UnitedStates,NorthAmerica"""
1161,"""Mount Emerson""",4031,84.18%,40762,"""California,UnitedStates,NorthAmerica"""
1162,"""Mount Audubon""",4030,88.17%,93172,"""Colorado,UnitedStates,NorthAmerica"""
1163,"""Unnamed 13222""",4030,76.66%,842,"""Colorado,Hinsdale,UnitedStates,NorthAmerica"""
1164,"""Macomber Peak""",4030,86.37%,4732,"""Colorado,UnitedStates,NorthAmerica"""
1165,"""Veravasht (Dehla), Usher &amp; Jirchal""",4030,85.36%,4667,"""Mazandaran,Iran,Asia"""
1166,"""Khers Char 4030 m &amp; Peak 3990 m""",4030,88.6%,4880,"""Tehran/Mazandaran,Iran,Asia"""
1167,"""Akioud n'bou Imhraz""",4030,77.23%,11802,"""highatlas,Morocco,Africa"""
1168,"""King Solomon Mountain""",4029,80.24%,14318,"""Colorado,UnitedStates,NorthAmerica"""
1169,"""S 7""",4029,83.69%,1779,"""Colorado,UnitedStates,NorthAmerica"""
1170,"""Lavender Peak""",4029,89.39%,19168,"""Colorado,UnitedStates,NorthAmerica"""
1171,"""Greenhalgh Mountain""",4029,82.96%,3644,"""Colorado,UnitedStates,NorthAmerica"""
1172,"""Peak C""",4029,92.59%,31347,"""Colorado,UnitedStates,NorthAmerica"""
1173,"""Spearhead Pinnacle""",4029,78.27%,1409,"""Wyoming,UnitedStates,NorthAmerica"""
1174,"""Mount Julius Caesar""",4029,94.17%,31204,"""California,UnitedStates,NorthAmerica"""
1175,"""Mount Silverthrone""",4029,83.69%,23919,"""Alaska,UnitedStates,NorthAmerica"""
1176,"""Hagar Mountain""",4029,83.69%,10031,"""Colorado,UnitedStates,NorthAmerica"""
1177,"""Peak E""",4029,0%,630,"""Colorado,UnitedStates,NorthAmerica"""
1178,"""California Mountain""",4029,82.48%,2480,"""Colorado,UnitedStates,NorthAmerica"""
1179,"""Mount Lovenia""",4029,92.04%,22733,"""Utah,UnitedStates,NorthAmerica"""
1180,"""Jones Mountain""",4029,86.85%,8432,"""Colorado,UnitedStates,NorthAmerica"""
1181,"""Engineer Mountain ""A""""",4029,86.85%,11398,"""Colorado,UnitedStates,NorthAmerica"""
1182,"""Hassell Peak""",4028,89.39%,9063,"""Colorado,UnitedStates,NorthAmerica"""
1183,"""Fairview Peak""",4028,83.69%,8650,"""Colorado,UnitedStates,NorthAmerica"""
1184,"""Peak L ""Necklace Peak""""",4027,90.13%,18261,"""Colorado,UnitedStates,NorthAmerica"""
1185,"""Campbell Peak""",4027,85.36%,7336,"""Colorado,UnitedStates,NorthAmerica"""
1186,"""Allalinhorn""",4027,98.24%,92312,"""Wallis,Switzerland,Europe"""
1187,"""Mt Carl Heller""",4027,87.31%,21283,"""California,UnitedStates,NorthAmerica"""
1188,"""Gladstone Ridge""",4026,89.01%,7143,"""Colorado,UnitedStates,NorthAmerica"""
1189,"""Homestake Peak""",4026,84.82%,28832,"""Colorado,UnitedStates,NorthAmerica"""
1190,"""Il Roc""",4026,95.67%,13864,"""AostaValley-Piemonte,Italy,Europe"""
1191,"""Powell Peak""",4026,87.76%,23280,"""Colorado,UnitedStates,NorthAmerica"""
