No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
68,"""Cazadero/Walter Penck""",6658,82.21%,18551,"""Catamarca,Argentina,SouthAmerica"""
69,"""Huascarán Norte""",6655,94.02%,20244,"""Ancash,Peru,SouthAmerica"""
70,"""Lungser Kangri""",6645,73.04%,7095,"""Kashmir,India,Asia"""
71,"""Kailash""",6638,96.38%,157889,"""Xizang(Tibet),China,Asia"""
72,"""Cerro Tres Cruces Central""",6629,76.65%,10511,"""Copiapó,NorteChico/RegiónIII,Chile,SouthAmerica"""
73,"""Pik 6624""",6624,79.04%,17242,"""Pamir-Alaj,Kyrgyzstan,--"""
74,"""Incahuasi""",6621,90.8%,34746,"""Catamarca,Argentina,SouthAmerica"""
75,"""Yerupaja""",6617,92.24%,66375,"""CordilleraHuayhuash,Peru,SouthAmerica"""
76,"""Chumser Kangri""",6614,72.71%,2234,"""Kashmir,India,Asia"""
77,"""Gora Kurumdy""",6614,76.46%,6734,"""Kyrgyzstan,Asia"""
78,"""Makrong Chhish""",6607,83.1%,11081,"""NorthernAreas,Pakistan,Asia"""
79,"""Gangotri - III""",6575,69.88%,2998,"""India,Asia"""
80,"""Tupungato""",6570,91.48%,58824,"""RegiónMetropolitana,Argentina/Chile,SouthAmerica"""
81,"""Buni Zom""",6551,82.29%,15239,"""North-WestFrontierProvience(NWFP)Hin,Pakistan,Asia"""
82,"""Sirengou I""",6550,97.47%,8865,"""Xinjiang,China,Asia"""
83,"""Sajama""",6542,90.26%,74632,"""CordilleraOccidental,Bolivia,SouthAmerica"""
84,"""Zangser Kangri""",6540,81.17%,16706,"""Tibet,China,Asia"""
85,"""Bhagirathi - II""",6512,69.88%,8239,"""Uttarakhand,India,Asia"""
86,"""Mulkila""",6507,84.27%,13459,"""HimachelPradesh,India,Asia"""
87,"""El Muerto""",6488,83.82%,19198,"""Catamarca/Copiapï¿½,Argentina,Chile,SouthAmerica"""
88,"""Mera Peak""",6476,99.23%,239436,"""HinkuValley,Nepal,Asia"""
89,"""Latok IV""",6456,90.13%,10089,"""Baltistan,Pakistan,Asia"""
90,"""Drifika Peak (6447m), Karakoram, Pakistan""",6447,90.13%,11936,"""Karakoram,GilgitBaltistan,Pakistan,Asia"""
91,"""Khani Basa Sar""",6441,88.19%,11008,"""NorthernAreas,Pakistan,Asia"""
92,"""Menthosa""",6440,86.85%,11320,"""HimachelPradesh,India,Asia"""
93,"""Cholatse""",6440,94.28%,37404,"""Nepal,Asia"""
94,"""Illimani""",6438,97.45%,75608,"""CordilleraReal,Bolivia,SouthAmerica"""
95,"""Nacimiento""",6436,77.48%,9023,"""Catamarca,Argentina,SouthAmerica"""
96,"""Tagchagpuri""",6430,86.85%,7153,"""Xizang(Tibet),China,Asia"""
97,"""Ancohuma (Jankhouma, Janq'uma)""",6427,85.3%,28914,"""CordilleraReal,Bolivia,SouthAmerica"""
98,"""Nevado Coropuna""",6425,91.28%,44559,"""Arequipa,Peru,SouthAmerica"""
99,"""Pulha Ri""",6404,96.63%,13015,"""Xizang(Tibet),China,Asia"""
100,"""Kang Yatse 1""",6401,75.81%,10733,"""J&amp;K,India,Asia"""
101,"""Kang Yatse""",6400,80.11%,29123,"""Ladakh,India,Asia"""
102,"""Ramada""",6384,90.03%,20915,"""SanJuan,Argentina,SouthAmerica"""
103,"""Nevado Ausangate""",6384,76.66%,23344,"""Peru,SouthAmerica"""
104,"""Nevado de Cachi""",6380,76.24%,19602,"""Salta,Argentina,SouthAmerica"""
105,"""Jiao Feng""",6370,98.23%,12935,"""Xinjiang,China,Asia"""
106,"""Illampu""",6368,90.48%,27588,"""Bolivia,SouthAmerica"""
107,"""Toze Kangri""",6368,83.1%,10195,"""Xizang,China,Asia"""
108,"""Taboche""",6367,88.19%,18176,"""Nepal,Asia"""
109,"""Chopicalqui""",6345,90.36%,71250,"""Peru,SouthAmerica"""
110,"""Parinacota""",6342,98.04%,59530,"""Sajama/Arica,Bolivia/Chile,SouthAmerica"""
111,"""Sonia Peak""",6340,82.47%,20427,"""Shimshal,Gojal,Pakistan,Asia"""
112,"""Bandarpoonch""",6315,83.08%,14697,"""Uttarakhand,India,Asia"""
113,"""Point 6315m""",6315,84.27%,6074,"""NorthernAreas,Pakistan,Asia"""
114,"""Kangzhagri""",6305,98.77%,25270,"""Xizang(Tibet),China,Asia"""
115,"""Shimshal Whitehorn""",6303,94.79%,22076,"""NorthernAreas,Pakistan,Asia"""
116,"""Nevado Ampato""",6288,89.01%,30173,"""Arequipa,Peru,SouthAmerica"""
117,"""Trango Towers""",6286,99.89%,92866,"""Baltistan,Pakistan,Asia"""
118,"""Pomerape""",6282,86.93%,22207,"""Bolivia,SouthAmerica"""
119,"""Nevado Salkantay""",6277,82.34%,22203,"""Cusco,Peru,SouthAmerica"""
120,"""Mentok 1""",6277,70.83%,6310,"""Ladakh,India,Asia"""
121,"""Chimborazo""",6270,98.41%,203882,"""Chimborazo,Ecuador,SouthAmerica"""
122,"""Santa Cruz (Pukarahu)""",6259,71.06%,2878,"""Ancash,Peru,SouthAmerica"""
123,"""Olmedo""",6250,89.39%,11400,"""Catamarca,Argentina,SouthAmerica"""
124,"""Four Girls (Fourth Girl, Siguniang, Yaoniangfeng)""",6250,99.66%,69178,"""SichuanProvince,China,Asia"""
125,"""Cerro La Mesa""",6200,77.48%,10807,"""SanJuan,Argentina,SouthAmerica"""
126,"""Cerro los Olivares""",6200,73.8%,7114,"""SanJuan,Argentina,SouthAmerica"""
127,"""Laila Peak""",6200,97.19%,62577,"""NorthernAreas,Pakistan,Asia"""
128,"""Denali""",6194,99.99%,545972,"""Alaska,UnitedStates,NorthAmerica"""
129,"""Copa""",6188,76.09%,27327,"""Ancash,Peru,SouthAmerica"""
130,"""Kongde Ri""",6187,84.25%,22630,"""KhumbuValley,Nepal,Asia"""
131,"""Kyajo Ri""",6186,76.69%,25602,"""Khumbu,Nepal,Asia"""
132,"""Imja Tse (Island Peak)""",6183,96.34%,80885,"""EverestRegion,Nepal,Asia"""
133,"""Ak-Tau""",6181,72.38%,1457,"""Kyrgyzstan,Asia"""
134,"""Yuzhu Feng""",6178,80.31%,18900,"""Qinghai,China,Asia"""
135,"""Aucanquilcha volcano""",6176,83.61%,13558,"""Calama,Chile,SouthAmerica"""
136,"""Faroling Chhish""",6170,83.69%,6571,"""NorthernAreas,Pakistan,Asia"""
137,"""Chola Shan""",6168,85.59%,14069,"""Sichuan,China,Asia"""
138,"""Ranrapalca""",6162,91.45%,42565,"""CordilleraBlanca,Peru,SouthAmerica"""
139,"""Unnamed Peak 6161m and Mt Qunyang (6121m)""",6161,94.63%,12809,"""Tibet(Xizang),China,Asia"""
140,"""Stok Kangri""",6153,89.28%,43764,"""Ladakh(StateofJammu&amp;Kashmere),India,Asia"""
141,"""Mentok 2""",6150,71.86%,4221,"""Ladakh,India,Asia"""
142,"""San Pedro volcano (Chile)""",6145,81.84%,13927,"""Calama,Chile,SouthAmerica"""
143,"""Thorong Ri""",6144,85.87%,27949,"""AnnapurnaHimal,Nepal,Asia"""
144,"""Nevado Queva""",6140,80.37%,12218,"""Salta,Argentina,SouthAmerica"""
145,"""Jirishanca""",6126,85.38%,43045,"""CordilleraHuayhuash,Peru,SouthAmerica"""
146,"""Medusa""",6120,76.66%,9852,"""Catamarca(Arg.)-Atacama(Chi.),Argentina,Chile,SouthAmerica"""
147,"""Cerros de Barrancas Blancas""",6119,77.29%,8481,"""Copiapó,NorteChico/RegiónIII,Chile,SouthAmerica"""
148,"""Lobuche East""",6119,88.19%,48431,"""Kumbhu,Nepal,Asia"""
149,"""Alma Negra""",6110,82.48%,9847,"""SanJuan,Argentina,SouthAmerica"""
150,"""Uli Biaho Tower, Karakoram, Pakistan""",6109,91.13%,9567,"""GilgitBaltistan,Pakistan,Asia"""
151,"""Cerro Marmolejo""",6108,84.82%,9188,"""RegiónMetropolitana,Argentina,Chile,SouthAmerica"""
152,"""Naji Kangsha 6106m""",6106,86.37%,8079,"""Tibet(Xizang),China,Asia"""
153,"""Nevado Chumpe""",6106,0%,1922,"""Cusco,Peru,SouthAmerica"""
154,"""Harjoldur Sar""",6104,83.1%,3125,"""NorthernAreas,Pakistan,Asia"""
155,"""San Pablo volcano (Chile)""",6103,84.82%,9430,"""Calama,Chile,SouthAmerica"""
156,"""Solimana""",6093,84.43%,19277,"""DepartamentoArequipa,Peru,SouthAmerica"""
157,"""Veladero NE""",6090,77.29%,8954,"""LaRioja,Argentina,SouthAmerica"""
158,"""Raghshur - Lang Shar 6089m (Unclimbed)""",6089,71.06%,698,"""khyberPakhtunkhwa,Pakistan,Asia"""
159,"""Huayna Potosi""",6088,95.97%,92872,"""CordilleraReal,Bolivia,SouthAmerica"""
160,"""Pisang Peak""",6081,76.17%,19010,"""AmapurnnaRegion,Nepal,Asia"""
161,"""Yalung Nong""",6080,75.81%,5867,"""Jammu&amp;Kashmir,India,Asia"""
162,"""Chachacomani / Chachakumani""",6074,82.13%,20468,"""CordilleraReal,Bolivia,SouthAmerica"""
163,"""Volcan Guallatiri""",6071,74.92%,12692,"""Chile,SouthAmerica"""
164,"""Cerro Vicuñas""",6067,76.47%,9680,"""Copiapó,NorteChico/RegiónIII,Chile,SouthAmerica"""
165,"""El Fraile""",6061,94.44%,14972,"""Catamarca(Arg.)/Atacama(Chi.),Argentina,Chile,SouthAmerica"""
166,"""Chachani""",6057,92.51%,58173,"""Arequipa,Peru,SouthAmerica"""
167,"""Cerro Acotango""",6056,77.46%,18754,"""Bolivia,SouthAmerica"""
168,"""Quitaraju""",6040,89.96%,37891,"""Peru,SouthAmerica"""
169,"""Haigutum Middle""",6031,84.27%,5117,"""NorthernAreas,Pakistan,Asia"""
170,"""Aiseo""",6029,79.04%,6528,"""Ladakh,India,Asia"""
171,"""Toze Pyramid""",6029,78.27%,7408,"""Xizang,China,Asia"""
172,"""Jitanzhoma""",6028,97.47%,14712,"""Xizang/Tibet,China,Asia"""
173,"""Volcán del Viento""",6028,72.08%,6014,"""Catamarca,Argentina,SouthAmerica"""
174,"""Nevado Hualca Hualca""",6025,88.61%,13260,"""Arequipa,Peru,SouthAmerica"""
175,"""Nevado de los Piuquenes""",6025,85.87%,12267,"""Mendoza/RegiónMetropolitanadeSantiago,Argentina/Chile,SouthAmerica"""
176,"""Artesonraju""",6025,99.16%,103642,"""Peru,SouthAmerica"""
